iter	Passed	Remaining
0	4	4286
1	10	5120
2	15	5131
3	20	5181
4	26	5256
5	31	5205
6	36	5190
7	41	5176
8	46	5169
9	51	5136
10	57	5172
11	63	5187
12	68	5171
13	74	5218
14	78	5183
15	84	5167
16	89	5199
17	95	5216
18	100	5210
19	106	5237
20	111	5215
21	117	5245
22	123	5237
23	129	5249
24	134	5233
25	139	5219
26	145	5231
27	150	5230
28	155	5209
29	160	5187
30	166	5188
31	170	5170
32	176	5164
33	181	5163
34	187	5165
35	192	5153
36	198	5166
37	204	5167
38	209	5158
39	214	5151
40	220	5146
41	225	5149
42	230	5137
43	235	5125
44	241	5126
45	247	5127
46	252	5119
47	257	5104
48	262	5103
49	268	5097
50	273	5098
51	279	5094
52	284	5083
53	290	5089
54	296	5092
55	301	5085
56	307	5085
57	313	5095
58	319	5092
59	324	5083
60	329	5070
61	334	5059
62	340	5068
63	347	5077
64	352	5076
65	357	5065
66	363	5054
67	368	5043
68	373	5037
69	379	5048
70	385	5042
71	391	5041
72	396	5035
73	401	5026
74	406	5019
75	411	5004
76	417	5001
77	422	4994
78	428	4993
79	433	4984
80	439	4982
81	443	4969
82	449	4969
83	454	4960
84	460	4954
85	466	4954
86	472	4953
87	476	4937
88	480	4921
89	485	4907
90	489	4890
91	494	4878
92	498	4866
93	505	4871
94	510	4859
95	514	4844
96	519	4839
97	524	4828
98	529	4819
99	533	4804
100	538	4796
101	543	4784
102	547	4770
103	552	4758
104	556	4747
105	561	4735
106	565	4722
107	570	4715
108	576	4709
109	580	4700
110	585	4688
111	590	4679
112	595	4673
113	600	4668
114	605	4661
115	610	4655
116	616	4649
117	620	4637
118	624	4626
119	629	4615
120	633	4603
121	638	4591
122	642	4580
123	647	4570
124	651	4558
125	655	4547
126	660	4537
127	664	4526
128	669	4517
129	674	4511
130	678	4500
131	683	4494
132	687	4483
133	692	4473
134	697	4467
135	702	4461
136	706	4453
137	711	4442
138	717	4442
139	722	4438
140	727	4431
141	732	4423
142	737	4421
143	743	4418
144	748	4415
145	753	4409
146	759	4408
147	764	4402
148	769	4393
149	774	4388
150	779	4381
151	783	4371
152	788	4364
153	793	4358
154	798	4353
155	803	4347
156	808	4339
157	812	4332
158	817	4326
159	822	4316
160	826	4308
161	831	4301
162	836	4295
163	841	4288
164	846	4283
165	850	4275
166	855	4268
167	859	4258
168	864	4250
169	868	4241
170	872	4231
171	877	4225
172	881	4215
173	886	4208
174	891	4202
175	896	4195
176	901	4191
177	906	4186
178	911	4181
179	916	4174
180	920	4167
181	927	4167
182	931	4159
183	936	4151
184	941	4145
185	945	4139
186	950	4131
187	954	4123
188	959	4117
189	964	4111
190	968	4103
191	973	4097
192	978	4090
193	983	4087
194	988	4081
195	993	4075
196	998	4069
197	1002	4060
198	1007	4055
199	1012	4049
200	1017	4045
201	1022	4037
202	1027	4032
203	1031	4024
204	1036	4018
205	1041	4015
206	1046	4007
207	1050	3999
208	1055	3994
209	1059	3987
210	1064	3979
211	1069	3973
212	1073	3966
213	1078	3960
214	1082	3953
215	1086	3945
